Thu 16 May 2024 11:26:17 AM BST
Wrote profile results to run.py.prof
         3279994 function calls (3269910 primitive calls) in 1.426 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _arrays.py:10(_sparray)
        7    0.000    0.000    0.000    0.000 _arrays.py:57(_matrix_doc_to_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:64(bsr_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:68(coo_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:72(csc_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:76(csr_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:80(dia_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:84(dok_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:88(lil_array)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _axis_nan_policy.py:260(_get_axis_params)
       16    0.000    0.000    0.000    0.000 _axis_nan_policy.py:309(_axis_nan_policy_factory)
       16    0.000    0.000    0.009    0.001 _axis_nan_policy.py:371(axis_nan_policy_decorator)
       16    0.000    0.000    0.000    0.000 _axis_nan_policy.py:572(<listcomp>)
        1    0.000    0.000    0.003    0.003 _axis_nan_policy.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _backend.py:1(<module>)
       28    0.000    0.000    0.001    0.000 _backend.py:174(generate_multimethod)
       28    0.000    0.000    0.001    0.000 _backend.py:307(get_defaults)
        1    0.000    0.000    0.000    0.000 _backend.py:325(set_global_backend)
        1    0.000    0.000    0.000    0.000 _backend.py:33(_backend_from_arg)
        1    0.000    0.000    0.000    0.000 _backend.py:407(Dispatchable)
        1    0.000    0.000    0.000    0.000 _backend.py:48(set_global_backend)
        1    0.000    0.000    0.000    0.000 _backend.py:6(_ScipyBackend)
        1    0.000    0.000    0.001    0.001 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:112(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:14(SparseWarning)
        1    0.000    0.000    0.000    0.000 _base.py:142(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:18(SparseFormatWarning)
        1    0.000    0.000    0.000    0.000 _base.py:22(SparseEfficiencyWarning)
        1    0.000    0.000    0.000    0.000 _base.py:313(Future)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:44(Error)
        1    0.000    0.000    0.000    0.000 _base.py:48(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:52(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:555(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:56(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:60(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:60(spmatrix)
        1    0.000    0.000    0.000    0.000 _base.py:648(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:75(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:97(_FirstCompletedWaiter)
        1    0.000    0.000    0.001    0.001 _basic.py:1(<module>)
       28    0.000    0.000    0.001    0.000 _basic.py:16(_dispatch)
        1    0.000    0.000    0.000    0.000 _basic.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _basic.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:12(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:180(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:247(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:278(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:294(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:34(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binomtest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binomtest.py:10(BinomTestResult)
        3    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _bsplines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bsplines.py:68(BSpline)
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bsr.py:22(bsr_matrix)
       62    0.000    0.000    0.000    0.000 _bunch.py:129(<genexpr>)
        1    0.000    0.000    0.000    0.000 _bunch.py:2(<module>)
       15    0.000    0.000    0.002    0.000 _bunch.py:33(_make_tuple_bunch)
       15    0.000    0.000    0.000    0.000 _bunch.py:6(_validate_names)
        1    0.000    0.000    0.000    0.000 _bvp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bvp.py:514(BVPResult)
        1    0.000    0.000    0.000    0.000 _ccallback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ccallback.py:26(LowLevelCallable)
        1    0.000    0.000    0.000    0.000 _ccallback.py:9(CData)
        1    0.000    0.000    0.000    0.000 _cobyla_py.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _cobyla_py.py:30(synchronized)
        4    0.003    0.001    0.005    0.001 _codata.py:1503(parse_constants_2002to2014)
        1    0.001    0.001    0.001    0.001 _codata.py:1514(parse_constants_2018toXXXX)
        1    0.000    0.000    0.000    0.000 _codata.py:1563(ConstantWarning)
       22    0.000    0.000    0.000    0.000 _codata.py:1568(_check_obsolete)
       22    0.000    0.000    0.000    0.000 _codata.py:1574(value)
        1    0.000    0.000    0.006    0.006 _codata.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
       89    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
        1    0.000    0.000    0.000    0.000 _common.py:2(<module>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compressed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compressed.py:23(_cs_matrix)
        2    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _constraints.py:120(LinearConstraint)
        1    0.000    0.000    0.000    0.000 _constraints.py:18(NonlinearConstraint)
        1    0.000    0.000    0.000    0.000 _constraints.py:215(Bounds)
        1    0.000    0.000    0.000    0.000 _constraints.py:292(PreparedConstraint)
        1    0.000    0.000    0.000    0.000 _construct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:10107(studentized_range_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1082(burr12_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1165(fisk_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1243(cauchy_gen)
